id,date,primary_type,location_description,arrest,domestic,community_area,year,latitude,longitude
13969093,2025-09-16T20:55:00.000,BATTERY,APARTMENT,False,True,52,2025,41.722096612,-87.53891799
13969146,2025-09-16T20:53:00.000,NARCOTICS,STREET,True,False,67,2025,41.760480866,-87.655828204
13969124,2025-09-16T20:49:00.000,INTERFERENCE WITH PUBLIC OFFICER,CTA BUS STOP,True,False,44,2025,41.743503863,-87.60501807
13969122,2025-09-16T20:48:00.000,WEAPONS VIOLATION,STREET,True,False,66,2025,41.784011918,-87.700848415
13969178,2025-09-16T20:40:00.000,THEFT,STREET,False,False,29,2025,41.855946829,-87.716342668
13969060,2025-09-16T20:34:00.000,BATTERY,RESIDENCE,False,True,46,2025,41.750825878,-87.563791665
13969090,2025-09-16T20:34:00.000,BATTERY,RESIDENCE - YARD (FRONT / BACK),False,True,73,2025,41.718019577,-87.657937301
13969237,2025-09-16T20:33:00.000,MOTOR VEHICLE THEFT,RESIDENCE,False,False,44,2025,41.750378603,-87.600311872
13969131,2025-09-16T20:30:00.000,CRIMINAL DAMAGE,RESIDENCE,False,False,19,2025,41.932046293,-87.765043245
13969150,2025-09-16T20:30:00.000,THEFT,STREET,False,False,22,2025,41.925886611,-87.678679535
13969110,2025-09-16T20:25:00.000,WEAPONS VIOLATION,ALLEY,True,False,30,2025,41.839751177,-87.723206639
13970547,2025-09-16T20:25:00.000,ASSAULT,OTHER (SPECIFY),False,False,42,2025,41.778131553,-87.593019014
13969066,2025-09-16T20:25:00.000,BURGLARY,RESIDENCE,False,True,10,2025,41.986305173,-87.790043489
13969717,2025-09-16T20:24:00.000,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,21,2025,41.93791173,-87.727149134
13969123,2025-09-16T20:20:00.000,CRIMINAL DAMAGE,RESIDENCE,False,False,54,2025,41.657251865,-87.600179558
13969181,2025-09-16T20:15:00.000,THEFT,ATHLETIC CLUB,False,False,21,2025,41.93791173,-87.727149134
13969149,2025-09-16T20:10:00.000,ASSAULT,STREET,False,False,52,2025,41.70821623,-87.536195702
13969337,2025-09-16T20:10:00.000,THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,21,2025,41.93791173,-87.727149134
13969160,2025-09-16T20:10:00.000,PUBLIC PEACE VIOLATION,STREET,True,False,25,2025,41.885731267,-87.746386677
13969040,2025-09-16T20:10:00.000,BURGLARY,APARTMENT,False,False,26,2025,41.881858277,-87.724091496
13969147,2025-09-16T20:10:00.000,NARCOTICS,STREET,True,False,25,2025,41.885721036,-87.747069841
13969113,2025-09-16T20:05:00.000,THEFT,PARK PROPERTY,False,False,49,2025,41.692659589,-87.617637943
13970139,2025-09-16T20:04:00.000,ARSON,COMMERCIAL / BUSINESS OFFICE,False,False,32,2025,41.887521986,-87.624552898
13969148,2025-09-16T20:04:00.000,OTHER OFFENSE,PARK PROPERTY,True,True,34,2025,41.834011289,-87.635219909
13968989,2025-09-16T20:02:00.000,NARCOTICS,VACANT LOT / LAND,True,False,67,2025,41.760480671,-87.655795219
13972918,2025-09-16T20:00:00.000,BATTERY,APARTMENT,False,True,43,2025,41.764293789,-87.580191345
13970624,2025-09-16T20:00:00.000,STALKING,COMMERCIAL / BUSINESS OFFICE,False,True,8,2025,41.893281677,-87.627596446
13971741,2025-09-16T20:00:00.000,OTHER OFFENSE,RESIDENCE,False,True,27,2025,41.871988409,-87.694514794
13969136,2025-09-16T20:00:00.000,BATTERY,STREET,False,False,3,2025,41.965426344,-87.655227542
13971000,2025-09-16T20:00:00.000,THEFT,RESIDENCE - PORCH / HALLWAY,False,False,35,2025,41.841622651,-87.617191438
13973204,2025-09-16T20:00:00.000,CRIMINAL DAMAGE,APARTMENT,False,False,16,2025,41.960804594,-87.740403725
13968978,2025-09-16T20:00:00.000,ASSAULT,STREET,False,False,61,2025,41.804108351,-87.658413013
13969198,2025-09-16T20:00:00.000,MOTOR VEHICLE THEFT,APARTMENT,False,False,15,2025,41.939224268,-87.766523222
13969382,2025-09-16T20:00:00.000,CRIMINAL DAMAGE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,30,2025,41.848853547,-87.695361629
13969138,2025-09-16T19:56:00.000,THEFT,DEPARTMENT STORE,True,False,77,2025,41.977020572,-87.659885503
13969120,2025-09-16T19:50:00.000,THEFT,SMALL RETAIL STORE,True,False,77,2025,41.977020572,-87.659885503
13968912,2025-09-16T19:50:00.000,DECEPTIVE PRACTICE,SIDEWALK,False,False,32,2025,41.886017951,-87.624521781
13969109,2025-09-16T19:48:00.000,ASSAULT,SIDEWALK,True,False,32,2025,41.888018676,-87.625439835
13969070,2025-09-16T19:45:00.000,ASSAULT,STREET,False,False,49,2025,41.689046142,-87.616451493
13969420,2025-09-16T19:43:00.000,ASSAULT,APARTMENT,False,True,44,2025,41.750446169,-87.602733461
13971150,2025-09-16T19:35:00.000,THEFT,DEPARTMENT STORE,False,False,3,2025,41.963070794,-87.655984213
13969380,2025-09-16T19:30:00.000,MOTOR VEHICLE THEFT,STREET,False,False,61,2025,41.811676982,-87.671128175
13969612,2025-09-16T19:30:00.000,MOTOR VEHICLE THEFT,STREET,False,False,35,2025,41.834447682,-87.617396191
